t,omega1,omega2,omega3
23.8,0.07252664827845354,-0.15880769867851785,0.3
23.81,0.07276000339837185,-0.15868831644353223,0.3
23.82,0.07299316325200302,-0.1585685908018027,0.3
23.830000000000002,0.07322612733314085,-0.15844852207081783,0.3
23.84,0.07345889513610501,-0.1583281105688061,0.3
23.85,0.0736914661557412,-0.15820735661473556,0.3
23.86,0.07392383988742059,-0.15808626052831432,0.3
23.87,0.0741560158270405,-0.15796482262999006,0.3
23.88,0.07438799347102372,-0.1578430432409505,0.3
23.89,0.07461977231631922,-0.15772092268312288,0.3
23.900000000000002,0.07485135186040148,-0.15759846127917448,0.3
23.91,0.07508273160127082,-0.15747565935251237,0.3
23.92,0.07531391103745363,-0.15735251722728322,0.3
23.93,0.07554488966800176,-0.15722903522837375,0.3
23.94,0.07577566699249318,-0.15710521368141026,0.3
23.95,0.0760062425110314,-0.15698105291275907,0.3
23.96,0.076236615724246,-0.1568565532495261,0.3
23.97,0.07646678613329212,-0.15673171501955727,0.3
23.98,0.07669675323985096,-0.15660653855143805,0.3
23.990000000000002,0.07692651654612935,-0.156481024174494,0.3
24.0,0.07715607555485988,-0.1563551722187903,0.3
24.01,0.07738542976930124,-0.15622898301513197,0.3
24.02,0.07761457869323757,-0.15610245689506386,0.3
24.03,0.07784352183097915,-0.15597559419087056,0.3
24.04,0.07807225868736176,-0.15584839523557656,0.3
24.05,0.07830078876774732,-0.15572086036294605,0.3
24.060000000000002,0.0785291115780233,-0.15559298990748308,0.3
24.07,0.078757226624603,-0.15546478420443155,0.3
24.080000000000002,0.07898513341442573,-0.15533624358977502,0.3
24.09,0.07921283145495635,-0.15520736840023702,0.3
24.1,0.07944032025418582,-0.15507815897328073,0.3
24.11,0.07966759932063057,-0.15494861564710927,0.3
24.12,0.0798946681633332,-0.15481873876066543,0.3
24.13,0.08012152629193012,-0.1546885286535705,0.3
24.14,0.0803481732181672,-0.15455798566474038,0.3
24.150000000000002,0.08057460845314231,-0.15442711013483085,0.3
24.16,0.0808008315077412,-0.15429590240589566,0.3
24.17,0.08102684189343115,-0.15416436282068194,0.3
24.18,0.08125263912226037,-0.1540324917226305,0.3
24.19,0.08147822270685869,-0.15390028945587556,0.3
24.2,0.08170359216043686,-0.15376775636524495,0.3
24.21,0.08192874699678727,-0.15363489279625994,0.3
24.22,0.08215368673028327,-0.15350169909513547,0.3
24.23,0.08237841087587974,-0.1533681756087798,0.3
24.240000000000002,0.08260291894911267,-0.1532343226847949,0.3
24.25,0.08282721046609932,-0.15310014067147618,0.3
24.26,0.08305128494353843,-0.15296562991781254,0.3
24.27,0.0832751418987097,-0.15283079077348652,0.3
24.28,0.08349878084947447,-0.152695623588874,0.3
24.29,0.083722201314275,-0.15256012871504465,0.3
24.3,0.08394540281213515,-0.15242430650376138,0.3
24.310000000000002,0.08416838486265985,-0.15228815730748077,0.3
24.32,0.08439114698603524,-0.15215168147935304,0.3
24.330000000000002,0.08461368870302906,-0.15201487937322164,0.3
24.34,0.08483600953498995,-0.15187775134362386,0.3
24.35,0.08505810900384815,-0.15174029774579023,0.3
24.36,0.08527998663211489,-0.15160251893564505,0.3
24.37,0.08550164194288297,-0.15146441526980595,0.3
24.38,0.08572307445982616,-0.15132598710558426,0.3
24.39,0.08594428370719981,-0.15118723480098464,0.3
24.400000000000002,0.08616526920984034,-0.15104815871470542,0.3
24.41,0.08638603049316541,-0.1509087592061385,0.3
24.42,0.08660656708317421,-0.1507690366353691,0.3
24.43,0.08682687850644691,-0.15062899136317617,0.3
24.44,0.08704696429014525,-0.15048862375103203,0.3
24.45,0.08726682396201192,-0.15034793416110268,0.3
24.46,0.08748645705037124,-0.15020692295624744,0.3
24.47,0.08770586308412846,-0.15006559050001939,0.3
24.48,0.08792504159277045,-0.14992393715666488,0.3
24.490000000000002,0.0881439921063651,-0.14978196329112403,0.3
24.5,0.08836271415556157,-0.1496396692690304,0.3
24.51,0.08858120727159055,-0.149497055456711,0.3
24.52,0.0887994709862637,-0.1493541222211864,0.3
24.53,0.08901750483197425,-0.14921086993017071,0.3
24.54,0.0892353083416964,-0.14906729895207166,0.3
24.55,0.08945288104898597,-0.14892340965599027,0.3
24.560000000000002,0.08967022248797975,-0.1487792024117213,0.3
24.57,0.08988733219339588,-0.148634677589753,0.3
24.580000000000002,0.090104209700534,-0.148489835561267,0.3
24.59,0.09032085454527468,-0.14834467669813867,0.3
24.6,0.0905372662640801,-0.14819920137293668,0.3
24.61,0.0907534443939934,-0.1480534099589235,0.3
24.62,0.09096938847263933,-0.14790730283005477,0.3
24.63,0.09118509803822357,-0.14776088036098,0.3
24.64,0.09140057262953342,-0.14761414292704197,0.3
24.650000000000002,0.09161581178593722,-0.14746709090427715,0.3
24.66,0.09183081504739785,-0.14731972466940133,0.3
24.67,0.09204558195589913,-0.14717204459826894,0.3
24.68,0.0922601120533183,-0.1470240510680924,0.3
24.69,0.09247440488108061,-0.14687574445786855,0.3
24.7,0.09268845998124528,-0.14672712514723577,0.3
24.71,0.0929022768965061,-0.1465781935164737,0.3
24.72,0.09311585517019087,-0.14642894994650368,0.3
24.73,0.093329194346262,-0.14627939481888813,0.3
24.740000000000002,0.0935422939693159,-0.14612952851583116,0.3
24.75,0.09375515358458336,-0.1459793514201782,0.3
24.76,0.09396777273792961,-0.14582886391541602,0.3
24.77,0.0941801509758539,-0.145678066385673,0.3
24.78,0.09439228784549009,-0.14552695921571865,0.3
24.79,0.09460418289460597,-0.14537554279096424,0.3
24.8,0.09481583567160397,-0.1452238174974621,0.3
24.810000000000002,0.09502724572552058,-0.1450717837219063,0.3
24.82,0.09523841260602658,-0.1449194418516322,0.3
24.830000000000002,0.09544933586342724,-0.14476679227461647,0.3
24.84,0.09566001504866184,-0.1446138353794774,0.3
24.85,0.09587044971330426,-0.14446057155547445,0.3
24.86,0.09608063940956234,-0.1443070011925088,0.3
24.87,0.09629058369027853,-0.1441531246811228,0.3
24.88,0.09650028210892928,-0.14399894241250033,0.3
24.89,0.09670973421962559,-0.14384445477846663,0.3
24.900000000000002,0.09691893957711258,-0.14368966217148843,0.3
24.91,0.09712789773676962,-0.1435345649846739,0.3
24.92,0.0973366082546106,-0.14337916361177244,0.3
24.93,0.09754507068728341,-0.14322345844717513,0.3
24.94,0.09775328459207054,-0.1430674498859142,0.3
24.95,0.09796124952688844,-0.14291113832366356,0.3
24.96,0.09816896505028817,-0.1427545241567383,0.3
24.97,0.09837643072145477,-0.14259760778209515,0.3
24.98,0.0985836461002079,-0.14244038959733205,0.3
24.990000000000002,0.09879061074700123,-0.14228287000068848,0.3
25.0,0.09899732422292276,-0.1421250493910454,0.3
25.01,0.09920378608969502,-0.14196692816792497,0.3
25.02,0.09940999590967446,-0.141808506731491,0.3
25.03,0.0996159532458522,-0.14164978548254856,0.3
25.04,0.09982165766185333,-0.14149076482254425,0.3
25.05,0.10002710872193749,-0.14133144515356594,0.3
25.060000000000002,0.10023230599099839,-0.14117182687834307,0.3
25.07,0.10043724903456408,-0.14101191040024647,0.3
25.080000000000002,0.1006419374187971,-0.1408516961232883,0.3
25.09,0.10084637071049396,-0.14069118445212225,0.3
25.1,0.10105054847708579,-0.14053037579204328,0.3
25.11,0.10125447028663767,-0.140369270548988,0.3
25.12,0.10145813570784933,-0.14020786912953415,0.3
25.13,0.10166154431005442,-0.1400461719409012,0.3
25.14,0.10186469566322123,-0.1398841793909497,0.3
25.150000000000002,0.10206758933795211,-0.13972189188818185,0.3
25.16,0.10227022490548368,-0.13955930984174134,0.3
25.17,0.10247260193768708,-0.13939643366141297,0.3
25.18,0.10267472000706745,-0.13923326375762327,0.3
25.19,0.1028765786867645,-0.13906980054143991,0.3
25.2,0.10307817755055199,-0.1389060444245723,0.3
25.21,0.10327951617307604,-0.1387419958190626,0.3
25.22,0.103480594130975,-0.13857765513578804,0.3
25.23,0.103681410999998,-0.1384130227881682,0.3
25.240000000000002,0.10388196635622572,-0.13824809919065642,0.3
25.25,0.10408225977642203,-0.13808288475829053,0.3
25.26,0.10428229083803428,-0.13791737990669273,0.3
25.27,0.10448205911919273,-0.13775158505206983,0.3
25.28,0.10468156419871114,-0.13758550061121305,0.3
25.29,0.10488080565608623,-0.13741912700149828,0.3
25.3,0.1050797830714982,-0.13725246464088564,0.3
25.310000000000002,0.1052784960258103,-0.13708551394791998,0.3
25.32,0.10547694410056895,-0.13691827534173062,0.3
25.330000000000002,0.10567512687800404,-0.13675074924203118,0.3
25.34,0.10587304394102838,-0.1365829360691201,0.3
25.35,0.1060706948732383,-0.13641483624387996,0.3
25.36,0.10626807925891306,-0.1362464501877782,0.3
25.37,0.10646519668301542,-0.1360777783228664,0.3
25.38,0.1066620467311911,-0.13590882107178098,0.3
25.39,0.1068586289897693,-0.13573957885774257,0.3
25.400000000000002,0.10705494304576224,-0.13557005210455647,0.3
25.41,0.10725098848686536,-0.13540024123661248,0.3
25.42,0.10744676490145753,-0.13523014667888478,0.3
25.43,0.10764227187860059,-0.1350597688569322,0.3
25.44,0.10783750900803983,-0.13488910819689787,0.3
25.45,0.10803247588020351,-0.13471816512550966,0.3
25.46,0.1082271720862034,-0.13454694007007972,0.3
25.47,0.10842159721783422,-0.13437543345850486,0.3
25.48,0.10861575086757413,-0.13420364571926627,0.3
25.490000000000002,0.1088096326285844,-0.13403157728142967,0.3
25.5,0.10900324209470942,-0.13385922857464544,0.3
25.51,0.10919657886047708,-0.13368660002914814,0.3
25.52,0.1093896425210982,-0.13351369207575714,0.3
25.53,0.10958243267246709,-0.13334050514587606,0.3
25.54,0.10977494891116099,-0.13316703967149324,0.3
25.55,0.10996719083444068,-0.13299329608518132,0.3
25.560000000000002,0.11015915804024991,-0.13281927482009753,0.3
25.57,0.11035085012721567,-0.13264497630998373,0.3
25.580000000000002,0.1105422666946484,-0.132470400989166,0.3
25.59,0.11073340734254145,-0.13229554929255513,0.3
25.6,0.11092427167157169,-0.13212042165564628,0.3
25.61,0.11111485928309893,-0.13194501851451929,0.3
25.62,0.11130516977916646,-0.13176934030583826,0.3
25.63,0.11149520276250058,-0.13159338746685198,0.3
25.64,0.11168495783651099,-0.13141716043539362,0.3
25.650000000000002,0.11187443460529048,-0.13124065964988088,0.3
25.66,0.11206363267361504,-0.13106388554931608,0.3
25.67,0.11225255164694406,-0.1308868385732858,0.3
25.68,0.11244119113141994,-0.13070951916196138,0.3
25.69,0.11262955073386852,-0.1305319277560984,0.3
25.7,0.11281763006179861,-0.13035406479703715,0.3
25.71,0.11300542872340251,-0.13017593072670228,0.3
25.72,0.11319294632755547,-0.12999752598760309,0.3
25.73,0.11338018248381625,-0.12981885102283314,0.3
25.740000000000002,0.11356713680242658,-0.1296399062760707,0.3
25.75,0.11375380889431148,-0.12946069219157855,0.3
25.76,0.11394019837146553,-0.12928120921358502,0.3
25.77,0.11412630484735639,-0.12910145778556795,0.3
25.78,0.11431212793484193,-0.12892143835358766,0.3
25.79,0.11449766724739682,-0.12874115136440148,0.3
25.8,0.11468292239922243,-0.1285605972652914,0.3
25.810000000000002,0.11486789300524615,-0.12837977650406449,0.3
25.82,0.11505257868112174,-0.12819868952905272,0.3
25.830000000000002,0.1152369790432295,-0.1280173367891127,0.3
25.84,0.11542109370867576,-0.1278357187336262,0.3
25.85,0.11560492229529346,-0.12765383581249964,0.3
25.86,0.11578846442164158,-0.12747168847616455,0.3
25.87,0.11597171970700569,-0.12728927717557711,0.3
25.88,0.11615468777139744,-0.1271066023622186,0.3
25.89,0.11633736823555506,-0.12692366448809497,0.3
25.900000000000002,0.11651976072094289,-0.1267404640057372,0.3
25.91,0.11670186484975163,-0.12655700136820122,0.3
25.92,0.11688368024489847,-0.1263732770290676,0.3
25.93,0.11706520653002668,-0.126189291442442,0.3
25.94,0.1172464433295061,-0.12600504506295482,0.3
25.95,0.11742739026843263,-0.12582053834576154,0.3
25.96,0.11760804697262879,-0.12563577174654225,0.3
25.97,0.11778841306864314,-0.12545074572150222,0.3
25.98,0.11796848818375082,-0.1252654607273713,0.3
25.990000000000002,0.1181482719459531,-0.12507991722140444,0.3
26.0,0.11832776398397761,-0.12489411566138149,0.3
26.01,0.11850696392727844,-0.12470805650560696,0.3
26.02,0.11868587140603579,-0.1245217402129105,0.3
26.03,0.11886448605115642,-0.12433516724264641,0.3
26.04,0.11904280749427316,-0.12414833805469412,0.3
26.05,0.11922083536774546,-0.12396125310945766,0.3
26.060000000000002,0.11939856930465882,-0.12377391286786618,0.3
26.07,0.11957600893882517,-0.12358631779137366,0.3
26.080000000000002,0.11975315390478285,-0.12339846834195883,0.3
26.09,0.11993000383779634,-0.12321036498212551,0.3
26.1,0.12010655837385668,-0.12302200817490216,0.3
26.11,0.12028281714968099,-0.1228333983838424,0.3
26.12,0.12045877980271294,-0.12264453607302445,0.3
26.13,0.1206344459711223,-0.12245542170705168,0.3
26.14,0.1208098152938054,-0.12226605575105207,0.3
26.150000000000002,0.12098488741038471,-0.12207643867067869,0.3
26.16,0.12115966196120903,-0.12188657093210951,0.3
26.17,0.12133413858735366,-0.12169645300204716,0.3
26.18,0.12150831693062,-0.12150608534771942,0.3
26.19,0.12168219663353601,-0.12131546843687871,0.3
26.2,0.1218557773393557,-0.12112460273780255,0.3
26.21,0.12202905869205968,-0.12093348871929313,0.3
26.22,0.12220204033635465,-0.12074212685067776,0.3
26.23,0.12237472191767386,-0.12055051760180836,0.3
26.240000000000002,0.1225471030821767,-0.12035866144306197,0.3
26.25,0.12271918347674889,-0.12016655884534044,0.3
26.26,0.12289096274900264,-0.11997421028007041,0.3
26.27,0.12306244054727629,-0.11978161621920357,0.3
26.28,0.12323361652063469,-0.11958877713521626,0.3
26.29,0.12340449031904094,-0.11939569350077947,0.3
26.3,0.1235750615939963,-0.11920236578747148,0.3
26.310000000000002,0.12374532999673908,-0.11900879446920809,0.3
26.32,0.12391529517907797,-0.1188149800207324,0.3
26.330000000000002,0.12408495679358504,-0.11862092291725135,0.3
26.34,0.12425431449359535,-0.11842662363443622,0.3
26.35,0.12442336793320738,-0.11823208264842208,0.3
26.36,0.12459211676728262,-0.11803730043580833,0.3
26.37,0.12476056065144595,-0.11784227747365819,0.3
26.38,0.12492869924208524,-0.11764701423949919,0.3
26.39,0.12509653219635183,-0.11745151121132263,0.3
26.400000000000002,0.12526405917216007,-0.11725576886758413,0.3
26.41,0.12543127982818747,-0.1170597876872033,0.3
26.42,0.12559819382387502,-0.1168635681495637,0.3
26.43,0.1257648008194266,-0.11666711073451315,0.3
26.44,0.12593110047580955,-0.11647041592236329,0.3
26.45,0.12609709245475423,-0.1162734841938901,0.3
26.46,0.12626277641875433,-0.11607631603033332,0.3
26.47,0.12642815203106664,-0.11587891191339707,0.3
26.48,0.12659321895571132,-0.11568127232524923,0.3
26.490000000000002,0.12675797685747156,-0.11548339774852195,0.3
26.5,0.1269224254018938,-0.11528528866631146,0.3
26.51,0.12708656425528778,-0.11508694556217783,0.3
26.52,0.1272503930847263,-0.11488836892014546,0.3
26.53,0.12741391155804555,-0.11468955922470256,0.3
26.54,0.12757711934384472,-0.11449051696080166,0.3
26.55,0.12774001611148642,-0.1142912426138591,0.3
26.560000000000002,0.12790260153109628,-0.11409173666975546,0.3
26.57,0.12806487527356317,-0.1138919996148354,0.3
26.580000000000002,0.12822683701053933,-0.11369203193590743,0.3
26.59,0.12838848641443995,-0.11349183412024443,0.3
26.6,0.12854982315844368,-0.11329140665558299,0.3
26.61,0.12871084691649212,-0.11309075003012412,0.3
26.62,0.1288715573632904,-0.11288986473253255,0.3
26.63,0.12903195417430646,-0.11268875125193743,0.3
26.64,0.12919203702577184,-0.11248741007793163,0.3
26.650000000000002,0.12935180559468099,-0.11228584170057229,0.3
26.66,0.12951125955879167,-0.11208404661038066,0.3
26.67,0.12967039859662494,-0.11188202529834178,0.3
26.68,0.12982922238746486,-0.11167977825590511,0.3
26.69,0.12998773061135896,-0.11147730597498381,0.3
26.7,0.13014592294911767,-0.11127460894795546,0.3
26.71,0.13030379908231493,-0.11107168766766136,0.3
26.72,0.13046135869328765,-0.11086854262740718,0.3
26.73,0.13061860146513612,-0.11066517432096239,0.3
26.740000000000002,0.1307755270817237,-0.1104615832425607,0.3
26.75,0.13093213522767702,-0.11025776988689989,0.3
26.76,0.13108842558838593,-0.11005373474914162,0.3
26.77,0.1312443978500034,-0.10984947832491185,0.3
26.78,0.1314000516994458,-0.10964500111030036,0.3
26.79,0.1315553868243924,-0.10944030360186126,0.3
26.8,0.13171040291328603,-0.10923538629661242,0.3
26.810000000000002,0.13186509965582993,-0.10903024969087594,0.3
26.82,0.13201947674250292,-0.10882489428130393,0.3
26.830000000000002,0.13217353386388106,-0.10861932056651157,0.3
26.84,0.13232727071133255,-0.1084135290455212,0.3
26.85,0.13248068697702017,-0.10820752021775708,0.3
26.86,0.13263378235390094,-0.10800129458304593,0.3
26.87,0.13278655653572638,-0.10779485264161637,0.3
26.88,0.13293900921704224,-0.10758819489409953,0.3
26.89,0.13309114009318893,-0.10738132184152839,0.3
26.900000000000002,0.1332429488603009,-0.1071742339853384,0.3
26.91,0.13339443521530728,-0.10696693182736718,0.3
26.92,0.13354559885593145,-0.10675941586985428,0.3
26.93,0.13369643948069115,-0.10655168661544182,0.3
26.94,0.13384695678889869,-0.10634374456717374,0.3
26.95,0.1339971504806605,-0.10613559022849652,0.3
26.96,0.13414702025687766,-0.1059272241032585,0.3
26.97,0.13429656581924543,-0.10571864669571052,0.3
26.98,0.13444578687025363,-0.10550985851050534,0.3
26.990000000000002,0.13459468311318637,-0.10530086005269809,0.3
27.0,0.13474325425212208,-0.10509165182774614,0.3
27.01,0.1348914999919338,-0.10488223434150881,0.3
27.02,0.1350394200382887,-0.10467260810024788,0.3
27.03,0.13518701409764855,-0.10446277361062706,0.3
27.04,0.13533428187726937,-0.10425273137971255,0.3
27.05,0.13548122308520166,-0.10404248191497242,0.3
27.060000000000002,0.13562783743029028,-0.1038320257242772,0.3
27.07,0.13577412462217436,-0.10362136331589955,0.3
27.080000000000002,0.13592008437128766,-0.10341049519851414,0.3
27.09,0.13606571638885812,-0.10319942188119814,0.3
27.1,0.13621102038690816,-0.10298814387343057,0.3
27.11,0.13635599607825455,-0.10277666168509299,0.3
27.12,0.1365006431765085,-0.10256497582646881,0.3
27.13,0.13664496139607557,-0.10235308680824398,0.3
27.14,0.13678895045215575,-0.10214099514150629,0.3
27.150000000000002,0.13693261006074334,-0.10192870133774597,0.3
27.16,0.13707593993862704,-0.10171620590885545,0.3
27.17,0.1372189398033901,-0.10150350936712914,0.3
27.18,0.13736160937340988,-0.10129061222526389,0.3
27.19,0.1375039483678584,-0.10107751499635852,0.3
27.2,0.13764595650670186,-0.10086421819391425,0.3
27.21,0.13778763351070103,-0.10065072233183427,0.3
27.22,0.1379289791014109,-0.10043702792442422,0.3
27.23,0.13806999300118097,-0.10022313548639164,0.3
27.240000000000002,0.1382106749331551,-0.10000904553284651,0.3
27.25,0.1383510246212714,-0.09979475857930098,0.3
27.26,0.13849104179026267,-0.09958027514166916,0.3
